"","Sender_account","Receiver_account","Sender_bank_location","Receiver_bank_location","Is_laundering"
"168342",2386780639,7856837871,"UK","UK",1
"168451",5423475420,6633012892,"UK","UK",1
"168619",2641062081,1418787240,"UK","UK",1
"168921",3767006545,1323517665,"UK","UK",1
"170914",1464968036,2987279234,"UK","UK",1
"171568",6088675358,3632421612,"UK","UK",1
"172283",5262095561,927895922,"UK","UK",1
"172992",8078880434,8618176711,"UK","UK",1
"173291",8585579344,2531548770,"UK","Albania",1
"173761",2090244022,390237565,"UK","UK",1
"174423",3556481259,5019320065,"UK","UK",1
"175489",9678311627,4604350890,"UK","UK",1
"176747",4390377272,2327949023,"UK","UK",1
"176878",8753869372,4497771501,"UK","Nigeria",1
"177438",3895306575,4810948357,"UK","UK",1
"177557",1168258535,6985374793,"UK","UK",1
"177616",2392170793,2793197858,"UK","UK",1
"177784",4900827431,5088129970,"UK","UK",1
"178283",1860351715,6123421761,"UK","UK",1
"178831",6658116904,5896843637,"UK","UK",1
"179144",7401327478,4336451277,"UK","UK",1
"180909",8394329540,5334788886,"UK","UK",1
"183107",6042344622,7924000009,"UK","UAE",1
"184680",9402212829,6042344622,"UK","UK",1
"185079",3651814546,9273258089,"UK","Austria",1
"185190",8600542721,24346764,"UK","UK",1
"185462",9403274839,8848140810,"UK","UK",1
"186546",149944640,4619052265,"UK","UK",1
"186958",8379256821,7772352930,"Pakistan","UK",1
"187686",2337289637,4723035903,"UK","Italy",1
"187815",5095505244,8251530095,"UK","Austria",1
"188367",5498153777,7535520218,"UK","UK",1
"189541",3651814546,9273258089,"UK","Austria",1
"189809",9749980386,6279030684,"UK","Germany",1
"190652",9137307154,2248766608,"UK","UK",1
"190920",8078880434,4014748430,"UK","UK",1
"191681",1076202815,7951108994,"UK","UK",1
"192652",5668411164,6474275633,"UK","Spain",1
"193185",3979625953,2286679717,"UK","UK",1
"193920",524887805,365630545,"UK","UK",1
"195517",403526894,2819441865,"UK","Switzerland",1
"196390",8123264131,459201377,"UK","UK",1
"197124",5458014530,2399858017,"UK","Austria",1
"197563",6381030298,9553458659,"UK","UK",1
"197925",3761094857,6123421761,"UK","UK",1
"199477",9511743304,434351836,"UK","UK",1
"199717",3767006545,1323517665,"UK","UK",1
"200021",3895306575,4810948357,"UK","UK",1
"200820",3556481259,5019320065,"UK","UK",1
"201681",3428098918,2987279234,"UK","UK",1
"202525",5262095561,927895922,"UK","UK",1
"203118",6223365730,547920096,"UK","UK",1
"203571",4100600686,2412223098,"UK","UK",1
"204457",8957068054,5509341271,"UK","UK",1
"204470",8644845378,2987279234,"UK","UK",1
"205506",9678311627,4604350890,"UK","UK",1
"206245",3860436187,7535520218,"UK","UK",1
"206864",4827744909,6890773508,"UK","UK",1
"206887",9678311627,4604350890,"UK","UK",1
"208766",3241216466,5709569908,"UK","UK",1
"211877",6633012892,5006737641,"UK","Turkey",1
"212188",3453088802,6858778466,"UK","UK",1
"212883",4254045660,2412223098,"UK","UK",1
"213035",3002136616,6644790956,"UK","UK",1
"213094",2641062081,1418787240,"UK","UK",1
"214174",2835477095,7772352930,"Spain","UK",1
"214385",8687390629,4157322207,"UK","UK",1
"215118",3632421612,4729216950,"UK","UK",1
"215242",9330449479,1407059664,"UK","UK",1
"216045",5825377846,250142155,"UK","USA",1
"217250",540071627,2824945595,"UK","UK",1
"217373",4711995584,6029443845,"UK","UK",1
"217740",927503944,7951108994,"UK","UK",1
"218337",346811235,4723035903,"Morocco","Italy",1
"219040",403526894,1181210781,"UK","Netherlands",1
"219087",675669049,4497771501,"UK","Nigeria",1
"223325",7659131803,4238581262,"UK","UK",1
"223387",3092775499,6985374793,"UK","UK",1
"223656",4563831944,7856837871,"UK","UK",1
"223860",3651814546,9273258089,"UK","Austria",1
"224422",7084752054,2248766608,"UK","UK",1
"224533",9850092818,6423324882,"UK","UK",1
"226226",6659207763,9543913683,"UK","UK",1
"227158",8501920513,392103684,"UK","Turkey",1
"227255",6652024436,9685947642,"UK","UK",1
"227378",3895286750,1593071946,"UK","UK",1
"228620",8600542721,9544921548,"UK","Spain",1
"228935",435764827,1533993400,"UK","Mexico",1
"229778",9674437188,7772352930,"UK","UK",1
"230589",3651814546,9273258089,"UK","Austria",1
"231873",6223365730,1386492546,"UK","UK",1
"233885",8848140810,1204831577,"UK","Albania",1
"234028",188929394,5862848172,"UK","France",1
"235553",6658116904,7998453354,"UK","UK",1
"235723",6701974379,209742673,"UK","UK",1
"236062",8501920513,4692318788,"UK","Pakistan",1
"236092",8078880434,9653743841,"UK","UK",1
"237662",6611358144,6890773508,"UK","UK",1
"237882",6380248033,7535520218,"UK","UK",1
"238035",4857372800,6985374793,"UK","UK",1
"238120",487845226,6123421761,"UK","UK",1
"239233",5151780757,1640969510,"UK","UK",1
"239386",608860522,3001717656,"UK","UK",1
"240997",7026545363,3001717656,"UK","UK",1
"241267",4729216950,4816063555,"UK","UK",1
"241517",660492284,2793197858,"UK","UK",1
"241546",4913551727,4723035903,"UK","Italy",1
"242371",3591030456,1601392910,"UK","Nigeria",1
"242533",9707989791,4497771501,"UK","Nigeria",1
"244634",3651814546,9273258089,"UK","Austria",1
"248086",616741041,7856837871,"UK","UK",1
"248710",8683543845,1498828609,"UK","UK",1
"249362",9599002502,5218803866,"UK","Italy",1
"249651",3764972093,5183998157,"UK","Nigeria",1
"250172",6767692560,188929394,"UK","UK",1
"250705",6654412700,434351836,"UK","UK",1
"250844",4431107138,459201377,"UK","UK",1
"251618",604317393,7856837871,"UK","UK",1
"252183",531041847,7524879881,"UK","UK",1
"252542",6051946283,5218803866,"UK","Italy",1
"253272",9586816158,1708796825,"UK","UK",1
"254614",3427594465,7535520218,"UK","UK",1
"255988",9186785530,6123421761,"UK","UK",1
"256130",9586816158,1708796825,"UK","UK",1
"257438",389024076,5896843637,"UK","UK",1
"258259",3873090207,4497771501,"UK","Nigeria",1
"259621",1365245330,6985374793,"UK","UK",1
"260394",8078880434,9353516901,"UK","UK",1
"261337",1968816394,6890773508,"UK","UK",1
"265445",3651814546,9273258089,"UK","Austria",1
"266257",7191804812,6492840039,"UK","UK",1
"267317",4694931941,5709569908,"UK","UK",1
"267727",6981910149,434351836,"UK","UK",1
"269479",8967402463,9644089336,"UK","UK",1
"269842",7973807879,4723035903,"UK","Italy",1
"270009",2824945595,6434719668,"UK","UK",1
"271678",7328857291,4238581262,"UK","UK",1
"271805",1763632302,9543913683,"UK","UK",1
"274970",8257338541,3001717656,"UK","UK",1
"275046",7931564408,459201377,"UK","UK",1
"276322",7530675315,2248766608,"UK","UK",1
"278030",3651814546,9273258089,"UK","Austria",1
"278302",2749124400,7772352930,"Austria","UK",1
"279865",5730432020,209742673,"UK","UK",1
"280404",2286679717,8779905731,"UK","UK",1
"281491",3453088802,807454771,"UK","UK",1
"281683",6652024436,2585134008,"UK","Morocco",1
"282204",6860797177,5129661746,"UK","UK",1
"283877",6652024436,9604482457,"UK","UK",1
"284506",8890923622,7856837871,"UK","UK",1
"284644",5939286319,8327388411,"UK","UK",1
"284769",9003897341,8156879059,"UK","UK",1
"285680",8394329540,5334788886,"UK","UK",1
"286947",1364111403,434351836,"UK","UK",1
"287093",3895306575,4810948357,"UK","UK",1
"288262",9586816158,1708796825,"UK","UK",1
"290361",5520221039,3418926964,"UK","Turkey",1
"291696",2286679717,3220990583,"UK","UK",1
"291724",6859784309,2248766608,"UK","UK",1
"291732",3556481259,5019320065,"UK","UK",1
"291970",5623141347,2793197858,"UK","UK",1
"292705",8891878216,6960958775,"UK","UK",1
"294503",8957068054,4992830763,"UK","UK",1
"294807",4711995584,3511049612,"UK","USA",1
"294845",3767006545,1323517665,"UK","UK",1
"296657",4816063555,1423078109,"UK","UAE",1
"298428",7474707387,209742673,"UK","UK",1
"298453",6068920356,6123421761,"UK","UK",1
"299044",8967402463,8068632457,"UK","UK",1
"300447",389024076,7998453354,"UK","UK",1
"301090",4346395450,3220990583,"UK","UK",1
"301894",6652024436,5601106416,"UK","UK",1
"301951",5047305009,5993600544,"UK","Morocco",1
"302177",3470363208,7535520218,"UK","UK",1
"302757",9634559331,8020264563,"UK","UK",1
"302938",6545638988,4723035903,"France","Italy",1
"304305",9586816158,1708796825,"UK","UK",1
"304681",6874719158,7772352930,"UK","UK",1
"305198",1584692715,6890773508,"UK","UK",1
"306288",6770601554,6128626942,"UK","Nigeria",1
"307650",2281394207,5848625170,"UK","UK",1
"307913",9085912544,2166563883,"UK","UK",1
"308658",3651814546,9273258089,"UK","Austria",1
"309070",6527257111,2412223098,"UK","UK",1
"312428",8829678143,5709569908,"UK","UK",1
"313030",5691306117,459201377,"UK","UK",1
"316256",6770601554,6128626942,"UK","Nigeria",1
"316685",524784461,9749980386,"UK","UK",1
"317907",3919105611,4157322207,"UK","UK",1
"318078",3895306575,4810948357,"UK","UK",1
"319215",9471903835,6985374793,"UAE","UK",1
"320818",6010225513,2248766608,"UK","UK",1
"321440",8683543845,1758739816,"UK","UK",1
"321771",1423078109,2194097010,"UAE","UK",1
"322308",7155502273,7535520218,"UK","UK",1
"322545",9003897341,8156879059,"UK","UK",1
"322658",7093478091,1813079910,"UK","UK",1
"323340",7190719389,6123421761,"Nigeria","UK",1
"323913",9430804295,6085677362,"UK","Netherlands",1
"324818",6469356325,3001717656,"UK","UK",1
"325432",5702856441,8725188715,"UK","UK",1
"325594",2641062081,1418787240,"UK","UK",1
"325919",9586816158,1708796825,"UK","UK",1
"326101",3556481259,5019320065,"UK","UK",1
"327215",5939286319,8327388411,"UK","UK",1
"328600",305103818,209742673,"UK","UK",1
"330425",2176135093,4723035903,"Switzerland","Italy",1
"330723",9586816158,1708796825,"UK","UK",1
"332451",6860797177,5129661746,"UK","UK",1
"334818",6860797177,5129661746,"UK","UK",1
"334848",2081479084,9543913683,"UK","UK",1
"335872",5732243739,7772352930,"UK","UK",1
"336255",6652024436,9252458648,"UK","UK",1
"337611",531041847,6137006666,"UK","UK",1
"337847",2161928970,6890773508,"Switzerland","UK",1
"339178",3143556912,434351836,"UK","UK",1
"339745",6770601554,6128626942,"UK","Nigeria",1
"341128",7954210371,5709569908,"UK","UK",1
"341424",2364222213,7856837871,"UK","UK",1
"343270",4346395450,9405222951,"UK","UK",1
"344662",6860797177,5129661746,"UK","UK",1
"345040",9586816158,1708796825,"UK","UK",1
"345653",9186339166,209742673,"UK","UK",1
"345657",2641062081,1418787240,"UK","UK",1
"347075",9653743841,3697901122,"UK","UK",1
"348460",2166563883,1982494436,"UK","Mexico",1
"348572",6469485685,4143453021,"UK","UK",1
"349270",3895306575,4810948357,"UK","UK",1
"352518",2749172169,6985374793,"UK","UK",1
"353159",1351502592,9543913683,"UK","UK",1
"353957",3556481259,5019320065,"UK","UK",1
"355635",5939286319,8327388411,"UK","UK",1
"356158",403526894,6693267080,"UK","UK",1
"356568",8394329540,5334788886,"UK","UK",1
"358041",4346395450,8779905731,"UK","UK",1
"358400",9003897341,8156879059,"UK","UK",1
"358999",9586816158,1708796825,"UK","UK",1
"359278",2286679717,1393803286,"UK","UK",1
"362250",4014748430,8754955374,"UK","UK",1
"363594",9624361621,4331748190,"UK","UK",1
"363855",4599310239,4723035903,"UK","Italy",1
"364083",2550670994,7772352930,"India","UK",1
"365638",7701458546,2412223098,"UK","UK",1
"366416",6770601554,6128626942,"UK","Nigeria",1
"369653",9784821557,6123421761,"UK","UK",1
"370815",2676603542,8593139149,"UK","UK",1
"370907",7206201403,2248766608,"France","UK",1
"371813",4014748430,6052642343,"UK","Germany",1
"372713",932748756,7352073803,"UK","UK",1
"373052",6469485685,8529417538,"UK","UK",1
"373129",6770601554,6128626942,"UK","Nigeria",1
"373222",531041847,2987632525,"UK","UK",1
"373695",9586816158,1708796825,"UK","UK",1
"374167",9586816158,1708796825,"UK","UK",1
"374716",7911678176,6890773508,"Japan","UK",1
"375825",531041847,6459572017,"UK","Spain",1
"375879",9624361621,4331748190,"UK","UK",1
"377142",1209741468,6123421761,"UK","UK",1
"377317",6960958775,797401661,"UK","UK",1
"377439",4310198050,9414313929,"UK","UK",1
"378282",531041847,5621788298,"UK","France",1
"378948",5702856441,8725188715,"UK","UK",1
"379551",1888233271,7856837871,"UK","UK",1
"380014",2641062081,1418787240,"UK","UK",1
"380820",9634559331,8020264563,"UK","UK",1
"383054",9003897341,8156879059,"UK","UK",1
"383490",1813079910,8673365646,"UK","Mexico",1
"384427",7348501127,5641495028,"UK","UK",1
"384706",3405863613,209742673,"UK","UK",1
"385169",6860797177,5129661746,"UK","UK",1
"385198",2194097010,8162764828,"UK","UK",1
"385561",3885905606,6167974037,"UK","Albania",1
"388893",5151780757,807454771,"UK","UK",1
"390805",5653560154,2793197858,"UK","UK",1
"390967",5939286319,8327388411,"UK","UK",1
"391174",879666223,3001717656,"UK","UK",1
"391359",403526894,6873391515,"UK","Spain",1
"391824",7352073803,7423781443,"UK","Albania",1
"393079",9749980386,2226094681,"UK","Albania",1
"394454",8178792185,4723035903,"UK","Italy",1
"395911",7089896363,2248766608,"UK","UK",1
"397693",6860797177,5129661746,"UK","UK",1
"397770",3885905606,658360688,"UK","USA",1
"400309",5869654043,1393803286,"UK","UK",1
"403854",9003897341,8156879059,"UK","UK",1
"404035",5896843637,4143453021,"UK","UK",1
"404724",8967402463,3393150426,"UK","UK",1
"406138",960956176,7856837871,"UK","UK",1
"406805",7656249917,3001717656,"UK","UK",1
"407232",5303255200,7772352930,"Switzerland","UK",1
"407588",7219585821,9543913683,"UK","UK",1
"408883",5458014530,6796419111,"UK","UK",1
"409974",9634559331,8020264563,"UK","UK",1
"411098",7348501127,2239567616,"UK","UK",1
"411865",2641062081,1418787240,"UK","UK",1
"412322",3895306575,4810948357,"UK","UK",1
"413271",9624361621,4331748190,"UK","UK",1
"416123",390237565,8779905731,"UK","UK",1
"416790",1424693007,2692927449,"UK","Nigeria",1
"417784",6123762963,6053228415,"UK","France",1
"418330",3556481259,5019320065,"UK","UK",1
"418403",67242300,4238581262,"UK","UK",1
"419043",5702856441,8725188715,"UK","UK",1
"419755",6318099591,209742673,"UK","UK",1
"420087",6236037246,6890773508,"UK","UK",1
"421172",1424693007,593436072,"UK","Pakistan",1
"422067",4310198050,5920895832,"UK","UK",1
"422088",1652103580,9958407914,"UK","UK",1
"422095",1890296485,434351836,"UK","UK",1
"422612",8776423825,3393150426,"UK","UK",1
"423296",6770601554,6128626942,"UK","Nigeria",1
"424563",6860797177,5129661746,"UK","UK",1
"426254",6123762963,2979548522,"UK","Albania",1
"430695",6770601554,6128626942,"UK","Nigeria",1
"432544",8215544280,9958407914,"UK","UK",1
"432942",8176672843,2477514279,"UK","UK",1
"433469",1416418992,4526571397,"UK","Nigeria",1
"435266",9624361621,4331748190,"UK","UK",1
"436772",6860797177,5129661746,"UK","UK",1
"440480",4310198050,8285407168,"UK","UK",1
"440763",2548274915,8424086459,"UK","UK",1
"440781",8883712210,434351836,"UK","UK",1
"442329",4346395450,1393803286,"UK","UK",1
"443626",8216851572,7306244678,"UK","UK",1
"444138",6123762963,6350972201,"UK","Nigeria",1
"444298",7578442353,4238581262,"UK","UK",1
"446191",6652024436,7743695018,"UK","UK",1
"447354",7485881891,1416418992,"UK","UK",1
"448135",5896843637,8529417538,"UK","UK",1
"449893",8457217575,9543913683,"UK","UK",1
"451128",8424086459,132709401,"UK","UK",1
"451502",4310198050,1184607529,"UK","UK",1
"453973",5321651029,209742673,"UK","UK",1
"456373",6860797177,5129661746,"UK","UK",1
"457913",3885905606,5187141445,"UK","UAE",1
"458349",6770601554,6128626942,"UK","Nigeria",1
"461045",531041847,8134871284,"UK","UK",1
"461737",2793197858,1038535977,"UK","Mexico",1
"462541",8216851572,5248724846,"UK","UK",1
"464084",6123762963,4669358479,"UK","India",1
"469636",9232425799,727716979,"UK","UK",1
"470661",9809522264,434351836,"UK","UK",1
"471165",3885905606,3731521406,"UK","UK",1
"472852",4708001806,9543913683,"UK","UK",1
"477098",8776423825,8068632457,"UK","UK",1
"478700",7438881743,4238581262,"UK","UK",1
"478985",3885905606,933899052,"UK","Austria",1
"479388",390237565,3220990583,"UK","UK",1
"479421",5710097523,9958407914,"UK","UK",1
"479671",2135597740,9958407914,"UK","UK",1
"479776",8216851572,5339457910,"UK","UK",1
"479994",6652024436,2552732171,"UK","Morocco",1
"481063",3885905606,2359609438,"UK","UK",1
"481508",7837151352,4238581262,"UK","UK",1
"482901",8776423825,9644089336,"UK","UK",1
"484059",3518494338,2058371508,"UK","UK",1
"488071",5702856441,8725188715,"UK","UK",1
"493280",9218114986,4238581262,"UK","UK",1
"493310",9634559331,8020264563,"UK","UK",1
"494228",7348501127,4767587845,"UK","UK",1
"495098",6123762963,854728048,"UK","Albania",1
"495195",6123762963,789838427,"UK","UK",1
"496025",9232425799,7306244678,"UK","UK",1
"497438",9003897341,8156879059,"UK","UK",1
"498870",2793197858,3301341711,"UK","Spain",1
"498944",5987662725,8055925195,"UK","UK",1
"499739",3001717656,8085321843,"UK","UK",1
"500713",4900827431,5632473971,"UK","UK",1
"502259",1424693007,7253924352,"UK","Turkey",1
"503548",7348501127,2843630248,"UK","UK",1
"506307",34088849,4238581262,"UK","UK",1
"506489",5311136162,434351836,"UK","UK",1
"506839",1725504867,2058371508,"UK","UK",1
"511118",2477514279,146872147,"UK","UK",1
"512207",3976321933,2169197402,"UK","UK",1
"512843",390237565,1393803286,"UK","UK",1
"515160",6009668619,9958407914,"UK","UK",1
"515610",797401661,2774232996,"UK","UK",1
"515758",9003897341,8156879059,"UK","UK",1
"516633",5869654043,8779905731,"UK","UK",1
"517698",2793197858,4835751960,"UK","UK",1
"518146",8216851572,727716979,"UK","UK",1
"518579",9369763023,8779905731,"UK","UK",1
"521650",3001717656,2647941740,"UK","Switzerland",1
"521814",5702856441,8725188715,"UK","UK",1
"524989",4268503032,7263384547,"UK","UK",1
"525115",9634559331,8020264563,"UK","UK",1
"525660",6771036247,8529417538,"UK","UK",1
"529515",8055925195,1122450922,"UK","Italy",1
"533519",3001717656,7263260713,"UK","UK",1
"533905",7348501127,7627772980,"UK","UK",1
"534518",9232425799,2659417884,"UK","UK",1
"544573",8162764828,3564837690,"UK","UK",1
"546695",4014748430,9603110196,"UK","UK",1
"547508",9634559331,8020264563,"UK","UK",1
"548212",5440899683,5169868360,"UK","UK",1
"548335",5702856441,8725188715,"UK","UK",1
"550176",8537288551,3566365216,"UK","Pakistan",1
"551713",4723587645,6908837384,"UK","UK",1
"551876",8520806882,4851883208,"UK","UK",1
"552133",5939286319,8327388411,"UK","UK",1
"552947",8537288551,2655675972,"UK","Morocco",1
"552989",1763882389,3635240194,"UK","UK",1
"554203",8618176711,375465070,"UK","UK",1
"554611",6977632717,3034497051,"UK","UK",1
"557168",2793197858,833496961,"UK","France",1
"562096",9007044451,4550948935,"UK","UK",1
"564347",8683543845,2953729109,"UK","UK",1
"565418",1424693007,874243212,"UK","Nigeria",1
"565605",9653743841,4815549646,"UK","UK",1
